GUATEMALA,AEROMEXICO,AM 678,13:20,A TIEMPO,S/D
VILLAHERMO,AEROMEXICO,AM 806,13:20,A TIEMPO,S/D
P.VALLARTA,AEROMEXICO,AM 336,13:25,A TIEMPO,S/D
CHIHUAHUA,VIVA,VB 1050,13:30,A TIEMPO,B
GUADALAJARA,VIVA,VB 1062,13:30,A TIEMPO,B
LEON/BAJIO,AEROMEXICO,AM 132,13:35,A TIEMPO,S/D
TAPACHULA,AEROMEXICO,AM 372,13:35,A TIEMPO,S/D
MIAMI,AEROMEXICO,AM 422,13:35,A TIEMPO,S/D
P.ESCONDIDO,VOLARIS,Y4 130,13:40,A TIEMPO,B
OAXACA,AEROMEXICO,AM 2050,13:40,A TIEMPO,S/D
HERMOSILLO,AEROMEXICO,AM 710,13:45,A TIEMPO,S/D
CANCUN,AEROMEXICO,AM 532,13:50,A TIEMPO,S/D
GUADALAJARA,AEROMEXICO,AM 232,13:55,A TIEMPO,S/D
S.LUIS POTOSI,AEROMEXICO,AM 2540,13:55,A TIEMPO,S/D
L.ANGELES,AMERICAN AIRLINES,AA 2547,13:55,A TIEMPO,J
DALLAS,VOLARIS,Y4 390,13:55,A TIEMPO,G
MINEAPOLIS,DELTA,DL 605,13:55,A TIEMPO,S/D
MONTERREY,AEROMEXICO,AM 932,13:55,A TIEMPO,S/D
S. ANTONIO,VIVA,VB 164,14:00,A TIEMPO,G
MONTREAL,AEROMEXICO,AM 636,14:00,A TIEMPO,S/D
BOGOTA CO,AVIANCA,AV 73,14:00,A TIEMPO,J
SJ. D CABO,VOLARIS,Y4 780,14:00,A TIEMPO,B
SJ. D CABO,VIVA,VB 1212,14:05,A TIEMPO,B
CHIHUAHUA,AEROMEXICO,AM 142,14:05,A TIEMPO,S/D
HOUSTON IA,UNITED,UA 1838,14:05,A TIEMPO,J
OBREGON,AEROMEXICO,AM 2066,14:05,A TIEMPO,S/D
NEW YORK,DELTA,DL 624,14:05,A TIEMPO,S/D
ZIHUATANEJO,AEROMEXICO,AM 2452,14:10,A TIEMPO,S/D
ACAPULCO,VOLARIS,Y4 748,14:10,A TIEMPO,B
HERMOSILLO,VOLARIS,Y4 160,14:15,A TIEMPO,B
MORELIA MI,AEROMEXICO,AM 2446,14:15,A TIEMPO,S/D
TIJUANA,AEROMEXICO,AM 178,14:20,A TIEMPO,S/D
CHICAGO,UNITED,UA 474,14:20,A TIEMPO,J
MONTERREY,VIVA,VB 1130,14:40,A TIEMPO,B
GUADALAJARA,VOLARIS,Y4 220,14:40,A TIEMPO,B
ZIHUATANEJO,VIVA,VB 1304,14:45,A TIEMPO,B
TIJUANA,VIVA,VB 1254,14:50,A TIEMPO,B
SALT LAKE,DELTA,DL 642,14:50,A TIEMPO,S/D
CULIACAN,VOLARIS,Y4 188,14:55,A TIEMPO,B
SEATTLE,AEROMEXICO,AM 494,14:55,A TIEMPO,S/D
MEXICALI,AEROMEXICO,AM 182,15:00,A TIEMPO,S/D
QUERETARO,AEROMEXICO,AM 2462,15:00,A TIEMPO,S/D
AUSTIN,AEROMEXICO,AM 2686,15:00,A TIEMPO,S/D
CANCUN,AEROMEXICO,AM 536,15:00,A TIEMPO,S/D
LEON/BAJIO,AEROMEXICO,AM 134,15:05,A TIEMPO,S/D
MAZATLAN,AEROMEXICO,AM 1350,15:05,A TIEMPO,S/D
TORREON C,AEROMEXICO,AM 1704,15:05,A TIEMPO,S/D
MERIDA YUC,AEROMEXICO,AM 832,15:05,A TIEMPO,S/D
